f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
1.52E+01,0.00E+00,0.00E+00,0.00E+00,1.16E+01,0.00E+00,9.57E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.45E+01,0.00E+00,1.20E+01,1.12E+01
6.27E+00,0.00E+00,8.62E+00,6.79E+00,9.33E+00,0.00E+00,7.04E+00,4.24E-01,0.00E+00,0.00E+00,3.10E+00,9.98E+00,4.35E+00,4.43E+00,3.07E+00
0.00E+00,0.00E+00,1.43E+01,0.00E+00,3.65E+00,0.00E+00,3.90E+00,6.69E+00,0.00E+00,3.23E+00,7.87E+00,7.47E+00,3.90E+00,1.15E+00,2.32E+00
1.65E+00,0.00E+00,1.29E+01,0.00E+00,4.40E+00,0.00E+00,2.39E-02,7.90E+00,0.00E+00,2.34E+00,7.70E+00,0.00E+00,5.38E+00,0.00E+00,8.29E+00
3.71E+00,0.00E+00,5.08E+00,2.46E+00,4.37E+00,0.00E+00,8.23E+00,6.53E+00,0.00E+00,0.00E+00,9.68E+00,6.06E+00,6.52E+00,1.87E+00,1.07E+01
8.52E-01,0.00E+00,5.85E+00,1.10E+00,8.74E+00,0.00E+00,9.34E+00,6.44E+00,0.00E+00,0.00E+00,6.60E+00,8.85E+00,5.53E+00,4.72E+00,8.03E+00
7.74E+00,0.00E+00,4.36E-01,5.27E+00,6.28E+00,0.00E+00,1.30E+01,0.00E+00,0.00E+00,0.00E+00,9.03E+00,8.70E+00,5.63E+00,7.97E+00,1.43E+01
1.78E+01,0.00E+00,7.78E+00,9.32E-01,5.00E+00,0.00E+00,0.00E+00,3.90E+00,0.00E+00,1.29E+01,7.35E+00,1.27E+01,8.61E-01,2.77E+00,3.56E+00
8.87E+00,0.00E+00,8.83E-01,1.12E+01,5.86E+00,0.00E+00,9.90E+00,3.84E-01,0.00E+00,0.00E+00,4.98E+00,1.60E+01,4.82E+00,5.81E+00,0.00E+00
6.01E+00,0.00E+00,2.59E+00,8.72E+00,6.65E+00,0.00E+00,1.01E+01,7.72E+00,0.00E+00,3.48E+00,1.05E+01,1.22E+01,7.40E+00,2.36E+00,3.43E+00
1.41E+01,0.00E+00,0.00E+00,1.82E+01,4.75E+00,0.00E+00,6.23E+00,0.00E+00,0.00E+00,9.94E+00,0.00E+00,1.59E+01,5.70E+00,0.00E+00,0.00E+00
